"Survived","Pclass","Sex","SibSp","Parch","Fare","AgeGroup"
"1","3","male",0,0,56.4958,"Adult"
"0","3","male",0,0,7.925,"Adult"
"0","2","male",0,0,10.5,"Teen"
"1","1","female",0,0,31,"Adult"
"0","3","male",0,0,6.4375,"Adult"
"0","3","male",0,0,8.6625,"Teen"
"0","3","male",0,0,7.55,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"0","2","male",0,1,33,"Adult"
"0","3","male",4,2,31.275,"Child"
"0","3","male",0,0,7.775,"Senior"
"0","3","female",1,1,15.2458,"Child"
"1","1","female",0,1,39.4,"Teen"
"0","2","female",1,0,26,"Adult"
"1","3","female",0,1,9.35,"Teen"
"1","1","female",1,1,164.8667,"Adult"
"1","1","male",0,0,26.55,"Adult"
"1","3","female",0,3,19.2583,"Adult"
"0","3","male",2,0,14.1083,"Adult"
"0","2","male",1,0,11.5,"Adult"
"1","1","female",0,0,25.9292,"Adult"
"0","2","male",0,0,13,"Adult"
"1","2","female",0,0,13,"Adult"
"1","2","female",1,0,13.8583,"Adult"
"0","1","male",0,0,50.4958,"Adult"
"1","3","male",1,1,11.1333,"Child"
"0","3","male",0,0,7.8958,"Adult"
"1","1","female",1,1,52.5542,"Adult"
"0","1","male",0,0,5,"Adult"
"0","3","male",0,0,9,"Adult"
"1","2","female",1,0,24,"Adult"
"1","3","female",0,0,7.225,"Teen"
"0","3","male",0,0,9.8458,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"1","1","female",0,1,83.1583,"Adult"
"1","2","female",0,1,26,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"0","3","female",0,0,10.5167,"Adult"
"0","2","male",0,0,10.5,"Adult"
"0","3","male",0,0,7.05,"Adult"
"0","3","female",0,5,29.125,"Adult"
"0","2","male",0,0,13,"Adult"
"1","1","female",0,0,30,"Adult"
"1","1","male",0,0,30,"Adult"
"0","3","male",0,0,7.75,"Adult"
